06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
91,272	-0,0105719	-0,00475466	-0,123093
91,274	0,00849826	0,0342054	-0,101956
91,276	-0,0171247	0,0487334	-0,0510602
91,278	-0,0319622	0,012346	-0,0773256
91,28	0,00437751	-0,0191592	-0,110316
91,282	0,0173331	0,00824469	-0,0867029
91,284	-0,0291307	0,0308702	-0,0747195
91,286	-0,0403396	0,0361989	-0,0899678
91,288	-0,0118802	-0,0013651	-0,0859432
91,29	-0,0169511	-0,0187074	-0,0826227
91,292	-0,0220129	0,0348961	-0,0815564
91,294	-0,0336716	0,048118	-0,0798241
91,296	-0,0229899	-0,0262466	-0,088069
91,298	-0,0126707	-0,0624422	-0,0816706
91,3	-0,0328714	0,0389949	-0,0787636
91,302	-0,0289638	0,0656543	-0,0616132
91,304	-0,0285877	-0,0227742	-0,0677104
91,306	-0,0363835	-0,0311461	-0,111634
91,308	-0,0270026	0,028436	-0,106206
91,31	-0,0438855	0,0299425	-0,041961
91,312	-0,0371186	-0,0146145	-0,0240073
91,314	0,00336713	-0,0231055	-0,102998
91,316	-0,0207119	0,0264542	-0,140489
91,318	-0,0396506	0,035321	-0,0821115
91,32	-0,00892902	-0,0282028	-0,0391517
91,322	-0,0313426	-0,0202691	-0,0847811
91,324	-0,0677613	0,0490154	-0,0855767
91,326	-0,023653	0,0407384	-0,0630258
91,328	0,0100815	-0,0317995	-0,102586
91,33	-0,0413284	-0,00701892	-0,122267
91,332	-0,0350519	0,0536596	-0,0486735
91,334	-0,0119544	0,0242664	-0,0511926
91,336	-0,0404737	-0,0229952	-0,121816
91,338	-0,0613061	0,000451142	-0,0969608
91,34	-0,0259631	0,0524534	-0,0528837
91,342	-0,0153489	0,0219724	-0,0873468
91,344	-0,0442352	-0,00938941	-0,10327
91,346	-0,0441824	0,0110907	-0,0630386
91,348	-0,0117703	0,0283454	-0,0797223
91,35	-0,0303724	0,0201062	-0,112637
91,352	-0,0783413	0,0236193	-0,0750616
91,354	-0,0284248	0,0228749	-0,0334153
91,356	0,000121958	0,0184886	-0,072229
91,358	-0,0590386	0,0392659	-0,118118
91,36	-0,0668476	0,028165	-0,0822277
91,362	-0,00536483	0,00542585	-0,05138
91,364	-0,0346777	0,0340014	-0,0816836
91,366	-0,0791381	0,0602557	-0,0882936
91,368	-0,0306598	0,00371712	-0,058101
91,37	0,00867667	-0,0114348	-0,0699946
91,372	-0,0243858	0,044261	-0,0970042
91,374	-0,0563594	0,0746649	-0,0645819
91,376	-0,0410459	0,0446825	-0,0658739
91,378	-0,0131599	0,00285538	-0,102897
91,38	-0,00491499	0,0211955	-0,0739404
91,382	-0,0331803	0,0584436	-0,0205277
91,384	-0,0238417	0,0464289	-0,0712319
91,386	0,00797023	0,00127143	-0,123464
91,388	-0,0235732	0,0241746	-0,0799804
91,39	-0,0513608	0,0707796	-0,034829
91,392	-0,0132982	0,0525377	-0,0718615
91,394	0,0121755	-0,00392816	-0,0954961
91,396	-0,0222921	-0,0110331	-0,064926
91,398	-0,029951	0,044224	-0,0528801
91,4	-0,00612727	0,0782771	-0,0851962
91,402	0,00333395	0,0171675	-0,0911665
91,404	-0,018383	0,00287929	-0,0822353
91,406	-0,0260643	0,0541903	-0,0894847
91,408	-0,00911262	0,0201	-0,0627853
91,41	0,0068897	-0,0291976	-0,047491
91,412	-0,0219839	0,0068026	-0,0910789
91,414	-0,0293304	0,0785258	-0,132278
91,416	0,00629897	0,0346274	-0,0890883
91,418	-0,00829417	-0,0333264	-0,0626944
91,42	-0,026913	0,00554607	-0,0894837
91,422	-0,0246066	0,0518034	-0,0899116
91,424	-0,0125272	0,0111962	-0,0742379
91,426	-0,0126423	-0,0417195	-0,108401
91,428	-0,0178884	0,0159164	-0,117898
91,43	-0,0123784	0,0786831	-0,0685551
91,432	0,00152531	-0,0151441	-0,0595037
91,434	-0,0143448	-0,0766871	-0,101433
91,436	-0,0172237	0,0344497	-0,0925032
91,438	-1,10092e-005	0,0804702	-0,0657197
91,44	0,00372157	-0,020116	-0,0844164
91,442	-0,00946683	-0,0378126	-0,103268
91,444	-0,0113867	0,0449136	-0,0636375
91,446	0,00190631	0,049061	-0,0509357
91,448	-0,0162015	-0,027057	-0,0900356
91,45	-0,00924695	-0,0370129	-0,110974
91,452	0,0269062	0,0230845	-0,0827201
91,454	-0,000289684	0,0475715	-0,0566178
91,456	-0,0286249	-0,00055656	-0,048504
91,458	0,00628801	-0,0209841	-0,0895189
91,46	0,0263415	0,0166254	-0,130416
91,462	-0,00273039	0,0598459	-0,103827
91,464	-0,0268964	0,0202474	-0,0395745
91,466	-0,00854204	-0,0367436	-0,0398618
91,468	0,0390273	0,0195894	-0,0947662
91,47	0,0018792	0,0640447	-0,12651
91,472	-0,0393034	0,0159523	-0,101906
91,474	-0,00407111	-0,0387879	-0,0638618
91,476	0,0179937	0,027276	-0,07043
91,478	-0,0249297	0,0785795	-0,0911759
91,48	-0,0656532	-0,00670364	-0,0704196
91,482	-0,0129648	-0,0440944	-0,0731366
91,484	0,0279586	0,0326135	-0,0965784
91,486	-0,0286828	0,0916116	-0,0857534
91,488	-0,0489802	0,0437346	-0,0513468
91,49	0,00546543	-0,042237	-0,0854005
91,492	-0,00557728	-0,0148919	-0,10077
91,494	-0,0842087	0,0858981	-0,0294068
91,496	-0,0662167	0,0649767	-0,0174879
91,498	0,0347518	-0,0336215	-0,120243
91,5	0,0171603	0,00639986	-0,156889
91,502	-0,055913	0,0900433	-0,0309223
91,504	-0,0217444	0,0476304	0,0166909
91,506	-0,0114794	-0,0330276	-0,103637
91,508	-0,0603811	0,0196778	-0,141283
91,51	-0,0443161	0,106156	-0,0607638
91,512	-0,0095125	0,0394605	-0,0483828
91,514	0,00604287	-0,0185851	-0,0859637
91,516	0,00750017	0,0402401	-0,0678662
91,518	-0,0219293	0,0674171	-0,0664598
91,52	-0,0447221	0,0250713	-0,126249
91,522	-0,0312367	0,00440434	-0,112532
91,524	0,00347507	0,0486804	-0,0431436
91,526	0,00465219	0,0655978	-0,0137937
91,528	-0,0493156	0,0490907	-0,0976407
91,53	-0,0212782	-0,00442321	-0,130696
91,532	0,0240205	-0,000977161	-0,0881788
91,534	-0,0201849	0,078974	-0,0707473
91,536	-0,0595278	0,0690938	-0,0569808
91,538	-0,0213657	-0,0134622	-0,0582002
91,54	-0,00969242	-0,0288153	-0,0965073
91,542	-0,0208543	0,0383266	-0,10556
91,544	-0,0324592	0,053576	-0,0526015
91,546	-0,0367843	0,0185418	-0,0719451
91,548	-0,0256376	0,00477886	-0,120259
91,55	-0,0278096	0,0245089	-0,0760391
91,552	-0,022942	0,025155	-0,0328245
91,554	0,00735181	-0,0140546	-0,0731289
91,556	-0,0101226	0,012153	-0,13763
91,558	-0,0702263	0,0347972	-0,105588
91,56	-0,0619157	0,0094299	-0,0484731
91,562	0,000231814	0,0214016	-0,0634024
91,564	0,00366492	0,0142698	-0,10761
91,566	-0,0226468	-0,0275989	-0,0865086
91,568	-0,0333052	-0,0312981	-0,0688701
91,57	0,00139174	0,0297435	-0,10655
91,572	0,00583277	0,0524318	-0,105354
91,574	-0,0607398	0,0166474	-0,0503341
91,576	-0,0393502	-0,0104262	-0,0486461
91,578	0,0329328	-0,00439927	-0,0850799
91,58	-0,0198001	0,0169555	-0,0945406
91,582	-0,0251644	0,0063074	-0,0517692
91,584	0,0516998	-0,0130245	-0,0775168
91,586	0,0120369	0,0145837	-0,0928731
91,588	-0,0522766	0,0622785	-0,0346548
91,59	-0,0303604	0,0140117	-0,0290664
91,592	0,00568182	-0,0496203	-0,114061
91,594	0,0134794	-0,00715211	-0,106487
91,596	-0,00611154	0,0539674	0,00142393
91,598	-0,0214345	0,0573953	-0,0274913
91,6	-0,00355511	-0,0136385	-0,123881
91,602	0,0185413	-0,0293184	-0,113337
91,604	0,0111187	0,0369139	-0,0586584
91,606	-0,0447818	0,0317335	-0,0364837
91,608	-0,0517702	0,001637	-0,0519331
91,61	0,00822471	-0,00388962	-0,0803925
91,612	0,0322228	0,0367139	-0,107497
91,614	-0,0123501	0,0686128	-0,0817601
91,616	-0,0388251	0,0161188	-0,0739464
91,618	0,00504493	-0,0470006	-0,0879709
91,62	-0,00604928	0,0134615	-0,0762416
91,622	-0,0668518	0,0921032	-0,0470694
91,624	-0,0256218	0,018257	-0,0488371
91,626	0,0223954	-0,0293788	-0,112499
91,628	-0,0118942	0,0467535	-0,136366
91,63	-0,0278745	0,0612843	-0,0457109
91,632	-0,0200868	0,0144558	-0,0134193
91,634	-0,0204525	-0,00567223	-0,0853777
91,636	-0,00477399	0,0337205	-0,105587
91,638	-0,010722	0,0571934	-0,0538572
91,64	-0,0157363	0,0288085	-0,03772
91,642	0,00654033	0,0405378	-0,0947563
91,644	-0,00337416	0,0421076	-0,0958156
91,646	-0,0187549	0,0335775	-0,0335564
91,648	-0,00113572	0,0347096	-0,0492213
91,65	-0,00679053	0,0283602	-0,106875
91,652	-0,00697433	0,0362878	-0,079496
91,654	-0,0026486	0,0346931	-0,0560681
91,656	0,0115953	0,0280675	-0,0642716
91,658	0,0115921	0,068967	-0,0777196
91,66	-0,0444586	0,063719	-0,0988876
91,662	-0,0352252	0,0103789	-0,092594
91,664	0,0375886	-0,0150911	-0,0436095
91,666	0,0210045	0,0347124	-0,031921
91,668	-0,0145328	0,0887254	-0,0788038
91,67	-0,0238813	0,0478879	-0,114284
91,672	-0,0208557	-0,00895908	-0,0975064
91,674	-0,00550687	0,0194336	-0,0453912
91,676	-0,0321209	0,0726337	-0,0245835
91,678	-0,0362843	0,0215471	-0,0515969
91,68	-0,000843669	-0,0522254	-0,109424
91,682	-0,00769253	-0,0117111	-0,0963605
91,684	-0,0230527	0,0916014	-0,0204054
91,686	-0,0393975	0,0789156	-0,0412067
91,688	-0,0580319	-0,0360325	-0,129995
91,69	-0,0251308	-0,0634878	-0,0956105
91,692	-0,00615078	0,0456884	-0,00775291
91,694	-0,0395645	0,0623057	-0,0359071
91,696	-0,0478557	-0,0184204	-0,113437
91,698	-0,00289002	-0,0345067	-0,124639
91,7	-0,00106907	0,0223439	-0,0870373
91,702	-0,0550827	0,0505026	-0,0637308
91,704	-0,0564123	-0,00267511	-0,0590231
91,706	0,0150655	-0,0513726	-0,0735302
91,708	0,00138772	-0,0154064	-0,106431
91,71	-0,08118	0,0759713	-0,107844
91,712	-0,0527199	0,0427606	-0,0779952
91,714	0,0337306	-0,0634563	-0,0873428
91,716	0,0141132	-0,0414514	-0,0970894
91,718	-0,0691839	0,0581829	-0,064846
91,72	-0,0456247	0,0265135	-0,050954
91,722	0,00534894	-0,0632642	-0,107763
91,724	-0,0191727	-0,0257534	-0,126385
91,726	-0,0418052	0,0749163	-0,0240394
91,728	-0,0204934	0,0509279	-0,0223607
91,73	-0,00824996	-0,0569981	-0,136123
91,732	-0,00980225	-0,0509437	-0,122008
91,734	-0,0265166	0,0473197	-0,0103102
91,736	-0,033669	0,0557156	-0,0271266
91,738	-0,0375455	-0,0154708	-0,107327
91,74	-0,060981	-0,0256212	-0,113367
91,742	-0,0175457	0,00168587	-0,0538097
91,744	0,0187321	0,0319336	-0,0545199
91,746	-0,0334086	0,0197479	-0,0819576
91,748	-0,0557055	-0,0269116	-0,0713412
91,75	-0,0205963	0,00710689	-0,0719528
91,752	-0,0268442	0,0685475	-0,103786
91,754	-0,0281216	0,026508	-0,060266
91,756	-0,0264333	0,00393338	-0,0392926
91,758	-0,0228245	0,0300236	-0,111785
91,76	-0,00434281	0,0152536	-0,107446
91,762	-0,027359	0,00361821	-0,032257
91,764	-0,0330218	0,0383312	-0,048165
91,766	-0,00158477	0,0540135	-0,107478
91,768	-0,0333276	0,0330503	-0,0932195
91,77	-0,0330457	0,0174804	-0,0483039
91,772	0,0251634	0,0321829	-0,0633361
91,774	-0,0101918	0,0669156	-0,0888791
91,776	-0,0448959	0,0389994	-0,0427581
91,778	-0,0119899	0,00820981	-0,0379644
91,78	-0,0112656	0,0598898	-0,112486
91,782	-0,0145968	0,0739127	-0,079665
91,784	0,025483	0,0310028	-0,0127408
91,786	0,0185928	0,0163164	-0,0632374
91,788	-0,0173448	0,0464342	-0,0899503
91,79	-0,0267392	0,0763823	-0,0272176
91,792	-0,0297407	0,0540342	-0,0588582
91,794	-0,000275875	0,0311134	-0,0998199
91,796	0,0252673	0,0678158	-0,0573258
91,798	0,00022114	0,0616031	-0,0423843
91,8	-0,00967987	0,0100666	-0,0842036
91,802	-0,000496798	0,0338992	-0,0737889
91,804	-0,0208773	0,0692474	-0,0665895
91,806	-0,0177043	0,0471463	-0,0873043
91,808	-0,0248033	0,0405732	-0,096047
91,81	-0,0170454	0,0468146	-0,0718271
91,812	0,031163	-0,00466489	-0,0494221
91,814	0,00667569	0,0239945	-0,0465889
91,816	-0,0291642	0,105689	-0,106039
91,818	0,00795274	0,036102	-0,113813
91,82	-0,0140358	0,00388644	-0,0788176
91,822	-0,0542556	0,0667823	-0,0432559
91,824	-0,010373	0,0356021	-0,0330501
91,826	0,00668299	-0,00941901	-0,0789441
91,828	-0,0162476	0,0207282	-0,122257
91,83	0,00562137	0,0320965	-0,0807017
91,832	0,00446955	0,0392692	-0,0459025
91,834	-0,0284385	0,0500426	-0,0890814
91,836	-0,0186148	0,0128947	-0,0811132
91,838	-0,0177236	-0,00483125	-0,0389094
91,84	-0,0208893	0,0226276	-0,0680771
91,842	0,0166619	0,0397261	-0,108175
91,844	0,0257783	0,0552818	-0,0887138
91,846	0,00629655	0,00902138	-0,0460678
91,848	-0,00472109	-0,012629	-0,0478347
91,85	-0,027444	0,0572318	-0,0997338
91,852	-0,0154478	0,0296345	-0,0979791
91,854	0,0113862	-0,0322708	-0,0670148
91,856	-0,00477186	0,00247882	-0,0540687
91,858	0,00571818	0,0635974	-0,0508476
91,86	0,0191492	0,0410323	-0,0664366
91,862	-0,0284781	-0,00103605	-0,117346
91,864	-0,00931906	-0,010587	-0,0973181
91,866	0,00981913	0,0150684	-0,0367653
91,868	-0,022693	0,0519663	-0,0463186
91,87	-0,0113271	0,00461218	-0,0761342
91,872	0,00683448	-0,0450457	-0,0746106
91,874	-0,0108552	0,017457	-0,0557795
91,876	-0,00861894	0,0736673	-0,0778249
91,878	-0,0277297	0,0197736	-0,104618
91,88	-0,0342866	-0,0359013	-0,0737952
91,882	0,0248733	-0,0166318	-0,0187759
91,884	0,00352934	0,0427938	-0,0473326
91,886	-0,0751334	0,0487304	-0,0904084
91,888	-0,0326293	-0,000264948	-0,0844129
91,89	0,0270254	-0,0179681	-0,0972544
91,892	-0,0355632	0,0413953	-0,0922092
91,894	-0,0544266	0,0595363	-0,0232215
91,896	0,0112168	-0,0262172	-0,0322021
91,898	0,0228688	-0,0555625	-0,122707
91,9	-0,0363129	0,0453647	-0,107647
91,902	-0,0575278	0,112117	-0,0387682
91,904	-0,00976873	0,026462	-0,0735175
91,906	0,0073397	-0,0473175	-0,0933136
91,908	-0,0280351	0,0389197	-0,0297116
91,91	-0,0210713	0,0797946	-0,0236389
91,912	0,0105308	0,00550263	-0,110148
91,914	-0,0100054	-0,0065984	-0,124101
91,916	-0,0263127	0,0528166	-0,0255939
91,918	-0,0203249	0,0794323	0,01162
91,92	-0,0421197	0,0481051	-0,0767395
91,922	-0,0333131	-0,0279412	-0,108526
91,924	0,0231259	-0,0117714	-0,0493421
91,926	0,0151237	0,0898376	-0,0332977
91,928	-0,042293	0,0962279	-0,0452477
91,93	-0,0280691	0,0191038	-0,0583721
91,932	0,00588612	-0,0109848	-0,0758227
91,934	-0,0115862	0,0667782	-0,09012
91,936	-0,0461766	0,0679712	-0,0432882
91,938	-0,0310842	0,00871918	-0,0134128
91,94	0,00879066	0,0115175	-0,0863293
91,942	-0,0146765	0,0576537	-0,117433
91,944	-0,0278435	0,0799015	-0,0532715
91,946	-0,0173697	0,00881686	-0,0286733
91,948	-0,0188264	-0,0103667	-0,106684
91,95	-0,0240675	0,0483299	-0,103007
91,952	-0,0459574	0,0691958	-0,0315305
91,954	-0,0286061	0,0250097	-0,039815
91,956	0,00569012	0,0151228	-0,0964796
91,958	-0,0211481	0,043021	-0,0884854
91,96	-0,036538	0,0484885	-0,0633214
91,962	0,000823813	0,00463218	-0,0878983
91,964	-0,0160893	-0,0187567	-0,0732923
91,966	-0,0210438	0,0298911	-0,0139674
91,968	-0,0169517	0,0672055	-0,0298348
91,97	-0,0310412	0,0435156	-0,123789
91,972	-0,030966	-0,0161335	-0,113036
91,974	0,00976001	0,00635291	-0,0306326
91,976	0,0224724	0,0627122	-0,036967
91,978	-0,0285493	0,0289285	-0,0661783
91,98	-0,0316224	-0,0253485	-0,056156
91,982	0,00170514	-0,016352	-0,0857011
91,984	-0,009692	0,0481632	-0,118584
91,986	-0,0165535	0,0682578	-0,0478159
91,988	0,00294071	-0,019702	-0,000796546
91,99	0,0158929	-0,04384	-0,0839985
91,992	0,0097926	0,0497995	-0,117752
91,994	-0,00719606	0,0567238	-0,0444419
91,996	0,0110059	-0,0221255	-0,040893
91,998	0,00228765	-0,00543575	-0,10395
92	-0,0435421	0,0723996	-0,0843047
92,002	-0,0128548	0,0324911	-0,023946
92,004	0,0140142	-0,0600097	-0,0640724
92,006	0,0135197	-0,0227468	-0,0983523
92,008	0,00827969	0,0429766	-0,0621399
92,01	-0,0134162	0,0349531	-0,069718
92,012	-0,022786	-0,00991708	-0,098197
92,014	-0,016303	0,00223651	-0,0637104
92,016	-0,0143356	0,0295893	-0,0399569
92,018	-0,00819639	0,0250613	-0,0566627
92,02	-0,00901351	0,00411311	-0,0819446
92,022	0,00325446	-0,0105873	-0,0844186
92,024	0,0251425	0,0161991	-0,0738716
92,026	-0,00971954	0,0619998	-0,0604667
92,028	-0,0416233	0,0425794	-0,0716637
92,03	-0,0334529	-0,0442604	-0,0636731
92,032	-0,019874	0,00635702	-0,0899747
92,034	0,00323487	0,0664318	-0,0862757
92,036	0,0193545	0,0229437	-0,0392008
92,038	-1,62069e-005	0,00176846	-0,0313784
92,04	-0,0321134	0,0640203	-0,122915
92,042	-0,0149702	0,0675451	-0,143339
92,044	-0,0114932	-0,00628152	-0,0401468
92,046	0,00490544	0,00262596	-0,00900972
92,048	0,0182316	0,0601276	-0,066613
92,05	-0,028983	0,0692881	-0,0813819
92,052	-0,0234066	0,0374733	-0,0782104
92,054	0,0270163	0,016506	-0,102816
92,056	-0,00506843	0,0589767	-0,0679386
92,058	-0,0333979	0,0882148	-0,0123401
92,06	0,0113295	0,0124894	-0,0638268
92,062	0,00932275	-0,0171616	-0,0996749
92,064	-0,0205352	0,0808909	-0,0265781
92,066	-0,0350854	0,120341	-0,0314938
92,068	-0,0333705	0,0350058	-0,114459
92,07	-0,0267055	0,0100744	-0,0998892
92,072	0,00930214	0,0404411	-0,0181697
92,074	0,0142445	0,0356498	-0,0181201
92,076	-0,0128433	0,027896	-0,0564364
92,078	-0,0192221	0,0411146	-0,0795553
92,08	-0,0332428	0,0622593	-0,0952607
92,082	-0,0724526	0,0792372	-0,0619788
92,084	-0,0416553	0,0702537	-0,0256843
92,086	0,0310335	0,00229836	-0,0404117
92,088	0,00522201	-0,0149111	-0,0795003
92,09	-0,044807	0,0590223	-0,0738546
92,092	-0,0444384	0,0556351	-0,0582463
92,094	-0,0220189	0,022821	-0,0785232
92,096	-0,0413567	0,0553568	-0,0887974
92,098	-0,0605783	0,0623537	-0,0545434
92,1	-0,0285733	-0,0115222	-0,0307898
92,102	-0,00347689	-0,024162	-0,0830841
92,104	-0,00668614	0,0588373	-0,107462
92,106	-0,0133325	0,0721756	-0,0449176
92,108	-0,031121	0,0272019	-0,0586668
92,11	-0,054907	0,0138026	-0,11255
92,112	-0,0467283	0,0399996	-0,0629741
92,114	-0,0098955	0,0180134	-0,0085444
92,116	0,00331415	-0,0219494	-0,0582529
92,118	-0,0195238	0,0242575	-0,103353
92,12	-0,0243125	0,0715881	-0,062839
92,122	-0,0329999	0,0350417	-0,0570986
92,124	-0,0479405	-0,00354522	-0,0760887
92,126	-0,0111397	0,00510489	-0,0460573
92,128	-0,00020999	0,0167807	-0,0395997
92,13	-0,0486053	0,0179663	-0,0782218
92,132	-0,0259808	0,014261	-0,0638422
92,134	0,0251217	0,0217078	-0,0356906
92,136	-0,0167889	0,0584797	-0,086493
92,138	-0,0565792	0,0436568	-0,0998964
92,14	-0,0183276	-0,0418902	-0,0557213
92,142	0,00399885	-0,0396702	-0,0536596
92,144	-0,00934652	0,0524354	-0,0498597
92,146	-0,0196506	0,0754729	-0,023602
92,148	-0,0226617	0,0146557	-0,0853338
92,15	-0,0151962	-0,00606502	-0,153807
92,152	-0,00780848	0,0421675	-0,0826657
92,154	-0,0336673	0,0352329	0,00800731
92,156	-0,0318806	-0,0170488	-0,0346334
92,158	0,00312293	-0,0150299	-0,0871371
92,16	0,000121448	0,0459187	-0,0783264
92,162	-0,0132609	0,0721651	-0,077695
92,164	-0,0196312	0,0405889	-0,0965528
92,166	-0,009702	0,00581875	-0,0623228
92,168	0,010468	-0,00122469	-0,0176218
92,17	-0,0199418	0,0231952	-0,0378917
92,172	-0,0386092	0,045575	-0,0703871
92,174	0,0382256	0,0365391	-0,0778385
92,176	0,0367679	0,0186447	-0,0772882
92,178	-0,0472969	0,0719858	-0,0529971
92,18	-0,0225057	0,0858556	-0,029297
92,182	0,03156	-0,00469179	-0,0658334
92,184	-0,00136372	-0,0372443	-0,091599
92,186	-0,0164284	0,0594758	-0,0484399
92,188	0,0219532	0,0883308	-0,0161284
92,19	0,00726542	0,0396573	-0,0716918
92,192	-0,00668907	0,0379176	-0,114564
92,194	0,0216736	0,0575614	-0,0742806
92,196	0,0287665	0,0506771	-0,042605
92,198	-0,0150971	0,0221781	-0,0578048
92,2	-0,00381685	0,0244108	-0,0452334
92,202	0,0259459	0,045771	-0,040124
92,204	0,00872404	0,0825212	-0,109441
92,206	0,00488119	0,0740649	-0,115565
92,208	0,000673723	0,0201406	-0,035817
92,21	-0,0162421	-0,0054145	-0,0301277
92,212	0,0031525	0,0408936	-0,060515
92,214	0,012689	0,0891711	-0,0671858
92,216	-0,0109149	0,0203279	-0,0589864
92,218	0,00177028	0,0054032	-0,0766346
92,22	-0,00574785	0,0997435	-0,0851973
92,222	-0,0235261	0,0662719	-0,0407337
92,224	0,0054257	-0,0193901	-0,031787
92,226	-0,00116113	0,00664665	-0,0914167
92,228	-0,0120846	0,0483637	-0,0712785
92,23	0,00673782	0,0489316	-0,000117853
92,232	-0,0249146	0,0419882	-0,0527615
92,234	-0,0268662	0,0426123	-0,151464
92,236	0,0149491	0,0107197	-0,0819097
92,238	-0,0198865	0,00264149	0,0121949
92,24	-0,0206379	0,0315567	-0,0115852
92,242	-0,0184857	0,0390377	-0,0694862
92,244	-0,033939	0,0440907	-0,0872403
92,246	0,0169009	0,0141084	-0,0863791
92,248	0,0160226	0,00984702	-0,065411
92,25	-0,0494408	0,0519178	-0,00974644
92,252	-0,0369489	0,03897	-0,0318309
92,254	0,00584194	-0,0392204	-0,095112
92,256	-0,0204601	-0,0138001	-0,0675358
92,258	-0,0258904	0,0913759	-0,0295478
92,26	-0,00183167	0,0519857	-0,0508237
92,262	-0,00320088	-0,0176996	-0,0875095
92,264	-0,034098	-0,00487806	-0,0898734
92,266	-0,0262528	0,0159823	-0,0475084
92,268	-0,0172457	0,0434354	-0,0204946
92,27	-0,0461647	0,0132324	-0,0492229
92,272	-0,0384841	-0,0199198	-0,0773763
92,274	-0,00550536	0,0560275	-0,0907186
92,276	-0,0165381	0,0652306	-0,086363
92,278	-0,0206582	-0,0387023	-0,0432392
92,28	-0,0260908	-0,0353666	-0,0285883
92,282	-0,056188	0,063091	-0,082289
92,284	-0,052745	0,0531238	-0,0757378
92,286	-0,0409324	-0,0204739	-0,0472213
92,288	-0,00305915	-0,0152304	-0,050012
92,29	0,0158866	0,0836372	-0,0911086
92,292	-0,0586909	0,0685229	-0,0827116
92,294	-0,072841	-0,066392	-0,0379035
92,296	0,00111546	-0,0346269	-0,0570571
92,298	-0,0298571	0,0937579	-0,0687786
92,3	-0,0626435	0,0658906	-0,0120492
92,302	-0,015539	-0,0222627	-0,0533356
92,304	-0,0144763	-0,00126322	-0,153896
92,306	-0,0042227	0,0695502	-0,0712077
92,308	-0,00339244	0,0696151	0,0319921
92,31	-0,0529953	-0,0197284	-0,0457068
92,312	-0,0395164	-0,00863251	-0,11188
92,314	-0,00712426	0,0953267	-0,076713
92,316	-0,0176025	0,0574664	-0,0300702
92,318	0,0176786	-0,0116689	-0,0486565
92,32	0,0194371	0,0340801	-0,0957621
92,322	-0,0221143	0,083789	-0,0861823
92,324	-0,025651	0,0334851	-0,0217281
92,326	-0,028547	-0,0146501	-0,0175896
92,328	0,0148471	0,0546942	-0,0908833
92,33	0,0354789	0,0963514	-0,0971013
92,332	-0,0272832	0,0390144	-0,0387748
92,334	-0,0201412	-0,000719517	-0,0355264
92,336	0,0363609	0,0452486	-0,0715299
92,338	0,00351662	0,0883795	-0,049436
92,34	-0,0287808	0,0440356	-0,0404756
92,342	-0,0104584	-0,0221115	-0,0789453
92,344	0,013563	0,040332	-0,0801441
92,346	0,0346293	0,0954639	-0,0211035
92,348	0,0131457	0,035411	-0,0242673
92,35	-0,0210038	0,0024663	-0,0985102
92,352	-0,00683542	0,0484801	-0,0935287
92,354	0,0293355	0,0722622	-0,0247249
92,356	0,00438468	0,0283702	-0,0261977
92,358	-0,00712701	0,00791229	-0,0667045
92,36	0,0417331	0,0444251	-0,075329
92,362	0,0308366	0,0586351	-0,087564
92,364	-0,0352907	0,0177468	-0,0799631
92,366	-0,0129518	0,0354617	-0,0349633
92,368	0,0712121	0,0439866	-0,0274317
92,37	0,0362029	0,0147115	-0,0668773
92,372	-0,0556623	0,0392729	-0,11852
92,374	0,0167592	0,0309679	-0,0828952
92,376	0,122738	0,0124537	-0,0241932
92,378	-0,00108329	0,045114	-0,0584621
92,38	-0,0819753	0,062426	-0,0765777
92,382	0,0404705	0,00921341	-0,0538455
92,384	0,0711529	-0,0267302	-0,0841493
92,386	0,00976365	0,0316585	-0,0592655
92,388	-0,0106194	0,0733259	0,00922549
92,39	0,0300075	0,0252369	-0,0886236
92,392	0,0596832	-0,0329677	-0,146047
92,394	-0,0242992	0,0205061	-0,0167475
92,396	-0,0553196	0,0797867	0,0566389
92,398	0,0453212	0,0226404	-0,0629807
92,4	0,0327136	-0,0306253	-0,145025
92,402	-0,027053	0,0087309	-0,0616122
92,404	0,0181264	0,0424807	0,021245
92,406	0,0411549	0,0534591	-0,0344629
92,408	-0,00566618	0,00185702	-0,0918324
92,41	-0,0605711	-0,0296246	-0,0668664
92,412	-0,043724	0,0331223	-0,040169
92,414	0,0254444	0,0515114	-0,0326298
92,416	0,0299751	0,0083096	-0,0322381
92,418	-0,0335324	0,0142224	-0,058476
